tripduration,day,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2083,1/1/16,1/1/16 11:39,1/1/16 12:14,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,3145,E 84 St & Park Ave,40.77862688,-73.95772073,23324,Customer,,0
683,1/1/16,1/1/16 11:40,1/1/16 11:52,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,15202,Subscriber,1964,2
330,1/1/16,1/1/16 11:45,1/1/16 11:50,453,W 22 St & 8 Ave,40.74475148,-73.99915362,345,W 13 St & 6 Ave,40.73649403,-73.99704374,23853,Subscriber,1986,1
428,1/1/16,1/1/16 11:52,1/1/16 11:59,3142,1 Ave & E 62 St,40.7612274,-73.96094022,3156,E 72 St & York Ave,40.76663814,-73.95348296,18662,Subscriber,1952,1
1796,1/1/16,1/1/16 11:58,1/1/16 12:28,224,Spruce St & Nassau St,40.71146364,-74.00552427,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,22848,Subscriber,1973,1
439,1/1/16,1/1/16 11:59,1/1/16 12:07,513,W 56 St & 10 Ave,40.768254,-73.988639,499,Broadway & W 60 St,40.76915505,-73.98191841,18528,Subscriber,1967,1
1999,1/1/16,1/1/16 12:03,1/1/16 12:36,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,306,Cliff St & Fulton St,40.70823502,-74.00530063,23575,Subscriber,1976,1
375,1/1/16,1/1/16 12:08,1/1/16 12:14,334,W 20 St & 7 Ave,40.74238787,-73.99726235,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,17462,Subscriber,1991,1
1273,1/1/16,1/1/16 12:10,1/1/16 12:31,254,W 11 St & 6 Ave,40.73532427,-73.99800419,363,West Thames St,40.70834698,-74.01713445,23241,Subscriber,1986,2
1630,1/1/16,1/1/16 12:18,1/1/16 12:46,368,Carmine St & 6 Ave,40.73038599,-74.00214988,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,22151,Subscriber,1960,2
1744,1/1/16,1/1/16 12:21,1/1/16 12:50,391,Clark St & Henry St,40.69760127,-73.99344559,325,E 19 St & 3 Ave,40.73624527,-73.98473765,23410,Subscriber,1961,1
5137,1/1/16,1/1/16 12:22,1/1/16 13:48,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,499,Broadway & W 60 St,40.76915505,-73.98191841,18718,Customer,,0
407,1/1/16,1/1/16 12:26,1/1/16 12:33,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,23847,Subscriber,1989,1
265,1/1/16,1/1/16 12:27,1/1/16 12:32,3145,E 84 St & Park Ave,40.77862688,-73.95772073,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,21439,Subscriber,1990,2
1364,1/1/16,1/1/16 12:27,1/1/16 12:50,265,Stanton St & Chrystie St,40.72229346,-73.99147535,455,1 Ave & E 44 St,40.75001986,-73.96905301,23554,Customer,,0
391,1/1/16,1/1/16 12:36,1/1/16 12:42,301,E 2 St & Avenue B,40.72217444,-73.98368779,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,17218,Subscriber,1966,1
858,1/1/16,1/1/16 12:51,1/1/16 13:05,505,6 Ave & W 33 St,40.74901271,-73.98848395,410,Suffolk St & Stanton St,40.72066442,-73.98517977,23285,Subscriber,1973,1
2443,1/1/16,1/1/16 12:57,1/1/16 13:38,524,W 43 St & 6 Ave,40.75527307,-73.98316936,3226,W 82 St & Central Park West,40.78275,-73.97137,18526,Subscriber,1987,1
6559,1/1/16,1/1/16 13:02,1/1/16 14:51,303,Mercer St & Spring St,40.72362738,-73.99949601,352,W 56 St & 6 Ave,40.76340613,-73.97722479,20656,Customer,,0
750,1/1/16,1/1/16 13:07,1/1/16 13:20,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,453,W 22 St & 8 Ave,40.74475148,-73.99915362,24271,Subscriber,1978,1
983,1/1/16,1/1/16 13:08,1/1/16 13:24,523,W 38 St & 8 Ave,40.75466591,-73.99138152,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,21997,Subscriber,1988,1
12104,1/1/16,1/1/16 13:08,1/1/16 16:30,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3163,Central Park West & W 68 St,40.7734066,-73.97782542,22673,Customer,,0
12052,1/1/16,1/1/16 13:09,1/1/16 16:30,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3163,Central Park West & W 68 St,40.7734066,-73.97782542,21102,Customer,,0
405,1/1/16,1/1/16 13:11,1/1/16 13:17,174,E 25 St & 1 Ave,40.7381765,-73.97738662,536,1 Ave & E 30 St,40.74144387,-73.97536082,15914,Customer,,0
1316,1/1/16,1/1/16 13:11,1/1/16 13:33,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,426,West St & Chambers St,40.71754834,-74.01322069,14674,Subscriber,1982,2
263,1/1/16,1/1/16 13:13,1/1/16 13:17,499,Broadway & W 60 St,40.76915505,-73.98191841,3165,Central Park West & W 72 St,40.77579377,-73.97620574,20535,Subscriber,1977,1
6491,1/1/16,1/1/16 13:14,1/1/16 15:02,3137,5 Ave & E 73 St,40.77282817,-73.96685276,457,Broadway & W 58 St,40.76695317,-73.98169333,16229,Customer,,0
1971,1/1/16,1/1/16 13:16,1/1/16 13:49,3091,Frost St & Meeker St,40.71764,-73.94882,282,Kent Ave & S 11 St,40.70827295,-73.96834101,23366,Subscriber,1964,2
870,1/1/16,1/1/16 13:18,1/1/16 13:33,317,E 6 St & Avenue B,40.72453734,-73.98185424,532,S 5 Pl & S 4 St,40.710451,-73.960876,15582,Subscriber,1985,1
2812,1/1/16,1/1/16 13:20,1/1/16 14:07,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,405,Washington St & Gansevoort St,40.739323,-74.008119,21509,Customer,,0
513,1/1/16,1/1/16 13:23,1/1/16 13:31,295,Pike St & E Broadway,40.71406667,-73.99293911,257,Lispenard St & Broadway,40.71939226,-74.00247214,23241,Subscriber,1990,1
805,1/1/16,1/1/16 13:25,1/1/16 13:38,350,Clinton St & Grand St,40.71559509,-73.9870295,293,Lafayette St & E 8 St,40.73028666,-73.9907647,24219,Customer,,0
1083,1/1/16,1/1/16 13:30,1/1/16 13:48,525,W 34 St & 11 Ave,40.75594159,-74.0021163,472,E 32 St & Park Ave,40.7457121,-73.98194829,18117,Customer,,0
647,1/1/16,1/1/16 13:32,1/1/16 13:43,308,St James Pl & Oliver St,40.71307916,-73.99851193,257,Lispenard St & Broadway,40.71939226,-74.00247214,17852,Customer,,0
753,1/1/16,1/1/16 13:32,1/1/16 13:45,304,Broadway & Battery Pl,40.70463334,-74.01361706,426,West St & Chambers St,40.71754834,-74.01322069,18299,Subscriber,1988,2
1323,1/1/16,1/1/16 13:36,1/1/16 13:58,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,412,Forsyth St & Canal St,40.7158155,-73.99422366,15742,Subscriber,1991,2
802,1/1/16,1/1/16 13:36,1/1/16 13:49,508,W 46 St & 11 Ave,40.76341379,-73.99667444,212,W 16 St & The High Line,40.74334935,-74.00681753,15085,Subscriber,1981,1
1413,1/1/16,1/1/16 13:41,1/1/16 14:05,435,W 21 St & 6 Ave,40.74173969,-73.99415556,358,Christopher St & Greenwich St,40.73291553,-74.00711384,24249,Subscriber,1968,2
1974,1/1/16,1/1/16 13:44,1/1/16 14:17,453,W 22 St & 8 Ave,40.74475148,-73.99915362,499,Broadway & W 60 St,40.76915505,-73.98191841,23082,Customer,,0
1359,1/1/16,1/1/16 13:53,1/1/16 14:15,472,E 32 St & Park Ave,40.7457121,-73.98194829,526,E 33 St & 5 Ave,40.74765947,-73.98490707,23556,Subscriber,1974,1
899,1/1/16,1/1/16 13:53,1/1/16 14:08,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3165,Central Park West & W 72 St,40.77579377,-73.97620574,15675,Customer,,0
502,1/1/16,1/1/16 13:57,1/1/16 14:05,3145,E 84 St & Park Ave,40.77862688,-73.95772073,3140,1 Ave & E 78 St,40.77140426,-73.9535166,19454,Subscriber,1940,2
567,1/1/16,1/1/16 14:01,1/1/16 14:10,508,W 46 St & 11 Ave,40.76341379,-73.99667444,3159,W 67 St & Broadway,40.77492513,-73.98266566,19577,Subscriber,1970,1
2733,1/1/16,1/1/16 14:01,1/1/16 14:46,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3137,5 Ave & E 73 St,40.77282817,-73.96685276,21056,Customer,,0
11530,1/1/16,1/1/16 14:02,1/1/16 17:14,263,Elizabeth St & Hester St,40.71729,-73.996375,417,Barclay St & Church St,40.71291224,-74.01020234,17886,Customer,,0
893,1/1/16,1/1/16 14:11,1/1/16 14:25,297,E 15 St & 3 Ave,40.734232,-73.986923,79,Franklin St & W Broadway,40.71911552,-74.00666661,20654,Subscriber,1973,1
662,1/1/16,1/1/16 14:16,1/1/16 14:27,3112,Milton St & Franklin St,40.72906,-73.95779,3086,Graham Ave & Conselyea St,40.715143,-73.944507,15660,Subscriber,1993,0
342,1/1/16,1/1/16 14:19,1/1/16 14:25,545,E 23 St & 1 Ave,40.736502,-73.97809472,476,E 31 St & 3 Ave,40.74394314,-73.97966069,15881,Subscriber,1963,1
1016,1/1/16,1/1/16 14:27,1/1/16 14:44,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,401,Allen St & Rivington St,40.72019576,-73.98997825,19635,Subscriber,1984,1
430,1/1/16,1/1/16 14:32,1/1/16 14:39,433,E 13 St & Avenue A,40.72955361,-73.98057249,403,E 2 St & 2 Ave,40.72502876,-73.99069656,19087,Subscriber,1971,1
8667,1/1/16,1/1/16 14:39,1/1/16 17:03,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,22160,Subscriber,1966,1
616,1/1/16,1/1/16 14:39,1/1/16 14:49,173,Broadway & W 49 St,40.76068327,-73.98452729,514,12 Ave & W 40 St,40.76087502,-74.00277668,19597,Customer,,0
816,1/1/16,1/1/16 14:41,1/1/16 14:55,476,E 31 St & 3 Ave,40.74394314,-73.97966069,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,23729,Subscriber,1988,1
420,1/1/16,1/1/16 14:41,1/1/16 14:48,531,Forsyth St & Broome St,40.71893904,-73.99266288,400,Pitt St & Stanton St,40.71926081,-73.98178024,24318,Subscriber,1984,1
307,1/1/16,1/1/16 14:46,1/1/16 14:51,520,W 52 St & 5 Ave,40.75992262,-73.97648516,173,Broadway & W 49 St,40.76068327,-73.98452729,22916,Subscriber,1986,1
845,1/1/16,1/1/16 14:58,1/1/16 15:12,265,Stanton St & Chrystie St,40.72229346,-73.99147535,297,E 15 St & 3 Ave,40.734232,-73.986923,18860,Subscriber,1955,2
231,1/1/16,1/1/16 15:03,1/1/16 15:07,446,W 24 St & 7 Ave,40.74487634,-73.99529885,512,W 29 St & 9 Ave,40.7500727,-73.99839279,21259,Subscriber,1938,1
198,1/1/16,1/1/16 15:04,1/1/16 15:07,285,Broadway & E 14 St,40.73454567,-73.99074142,223,W 13 St & 7 Ave,40.73781509,-73.99994661,21954,Subscriber,1991,1
